
total_cnpj;total_datatu;total_filial;total_valdev;total_valven;total_margem;total_permet;total_projec;total_valjur;total_perjur;total_valina;total_perina;total_valest;total_meta;
01141021000190;20240517;00000001;000000000000.00;000000694291.75;0039.04;0051.42;0132.85;0.00;0.00;0.00;0.00;0.00;001350000.00;
01141021000190;20240517;00000002;000000000000.00;000000686981.47;0041.07;0037.13;0071.94;0.00;0.00;0.00;0.00;0.00;001850000.00;
01141021000190;20240517;00000003;000000000000.00;000000808159.30;0040.14;0048.39;0093.76;0.00;0.00;0.00;0.00;0.00;001670000.00;
01141021000190;20240518;00000000;000000000000.00;000006878627.11;0040.08;0141.24;0243.25;0.00;0.00;0.00;0.00;0.00;004870000.00;
01141021000190;20240518;00000002;000000000000.00;000000722595.51;0041.06;0039.05;0071.22;0.00;0.00;0.00;0.00;0.00;001850000.00;
01141021000190;20240518;00000003;000000000000.00;000000849944.37;0040.08;0050.89;0092.80;0.00;0.00;0.00;0.00;0.00;001670000.00;
01141021000190;20240519;00000000;000000000000.00;000007034891.55;0040.10;0144.45;0235.68;0.00;0.00;0.00;0.00;0.00;004870000.00;
01141021000190;20240519;00000001;000000000000.00;000000694351.63;0039.04;0051.43;0122.64;0.00;0.00;0.00;0.00;0.00;001350000.00;
01141021000190;20240519;00000002;000000000000.00;000000767675.49;0040.99;0041.49;0071.46;0.00;0.00;0.00;0.00;0.00;001850000.00;
01141021000190;20240519;00000003;000000000000.00;000000882936.73;0040.17;0052.87;0091.05;0.00;0.00;0.00;0.00;0.00;001670000.00;