assoc_cnpj;assoc_filial;assoc_datmvt;assoc_ass;assoc_desass;assoc_valdev;assoc_valven;assoc_margem;assoc_repres;assoc_metdia;
01141021000190;0000;20240507;AC;ACOUGUE                       ;000000000000.00;000000036000.79;0039.56;0079.00;000000000.00;
01141021000190;0000;20240507;AL;ALIMENTOS                     ;000000000000.00;000000033766.62;0043.65;6662.00;000000000.00;
01141021000190;0000;20240507;BA;BAZAR - SUPER                 ;000000000000.00;000000006064.65;0053.70;6465.00;000000000.00;
01141021000190;0000;20240507;BE;BEBIDAS                       ;000000000000.00;000000025446.11;0026.26;4611.00;000000000.00;
01141021000190;0000;20240507;HO;HORTIFRUTI                    ;000000000000.00;000000014432.45;0035.77;3245.00;000000000.00;
01141021000190;0000;20240507;HP;HIGIENE PESSOAL               ;000000000000.00;000000006383.95;0037.06;8395.00;000000000.00;
01141021000190;0000;20240507;LE;LATICINIOS/EMBUTIDOS          ;000000000000.00;000000014403.96;0042.54;0396.00;000000000.00;
01141021000190;0000;20240507;LI;LIMPEZA                       ;000000000000.00;000000015588.89;0040.57;8889.00;000000000.00;
01141021000190;0000;20240507;PA;PADARIA                       ;000000000000.00;000000009455.44;0053.75;5544.00;000000000.00;
01141021000190;0000;20240507;RP;RACOES PET                    ;000000000000.00;000000001984.45;0036.46;8445.00;000000000.00;
01141021000190;0000;20240507;VE;VESTUARIO                     ;000000000000.00;000000000816.90;0059.42;1690.00;000000000.00;
01141021000190;0000;20240507;XX;TOTAL DO DIA                  ;000000000000.00;000000164344.21;0039.66;4421.00;000000000.00;
01141021000190;0000;20240508;AC;ACOUGUE                       ;000000000000.00;000000028063.73;0040.55;6373.00;000000000.00;
01141021000190;0000;20240508;AL;ALIMENTOS                     ;000000000000.00;000000036232.75;0043.39;3275.00;000000000.00;
01141021000190;0000;20240508;BA;BAZAR - SUPER                 ;000000000000.00;000000006175.10;0053.68;7510.00;000000000.00;
01141021000190;0000;20240508;BE;BEBIDAS                       ;000000000000.00;000000020932.97;0025.57;3297.00;000000000.00;
01141021000190;0000;20240508;HO;HORTIFRUTI                    ;000000000000.00;000000017126.63;0035.62;2663.00;000000000.00;
01141021000190;0000;20240508;HP;HIGIENE PESSOAL               ;000000000000.00;000000006370.42;0037.56;7042.00;000000000.00;
01141021000190;0000;20240508;LE;LATICINIOS/EMBUTIDOS          ;000000000000.00;000000013457.24;0041.59;5724.00;000000000.00;
01141021000190;0000;20240508;LI;LIMPEZA                       ;000000000000.00;000000012299.18;0040.77;9918.00;000000000.00;
01141021000190;0000;20240508;PA;PADARIA                       ;000000000000.00;000000011501.90;0055.24;0190.00;000000000.00;
01141021000190;0000;20240508;RP;RACOES PET                    ;000000000000.00;000000002144.74;0033.59;4474.00;000000000.00;
01141021000190;0000;20240508;VE;VESTUARIO                     ;000000000000.00;000000001969.72;0059.59;6972.00;000000000.00;
01141021000190;0000;20240508;XX;TOTAL DO DIA                  ;000000000000.00;000000156274.38;0040.39;7438.00;000000000.00;
01141021000190;0000;20240509;AC;ACOUGUE                       ;000000000000.00;000000046126.00;0039.63;2600.00;000000000.00;
01141021000190;0000;20240509;AL;ALIMENTOS                     ;000000000000.00;000000045421.43;0043.14;2143.00;000000000.00;
01141021000190;0000;20240509;BA;BAZAR - SUPER                 ;000000000000.00;000000009626.86;0053.82;2686.00;000000000.00;
01141021000190;0000;20240509;BE;BEBIDAS                       ;000000000000.00;000000034955.76;0024.88;5576.00;000000000.00;
